experiment_id,transcript_id,model_name,technique_name,total_ground_truth,total_extracted,exact_matches
40,40,Llama 3.2 3B Instruct,zero-shot,9,8,6
41,41,Llama 3.2 3B Instruct,zero-shot,8,0,0
42,42,Llama 3.2 3B Instruct,zero-shot,9,7,1
43,43,Llama 3.2 3B Instruct,zero-shot,9,0,0
44,44,Llama 3.2 3B Instruct,zero-shot,9,9,9
45,45,Llama 3.2 3B Instruct,zero-shot,8,7,4
46,46,Llama 3.2 3B Instruct,zero-shot,7,8,6
47,47,Llama 3.2 3B Instruct,zero-shot,10,10,10
48,48,Llama 3.2 3B Instruct,zero-shot,6,5,3
49,49,Llama 3.2 3B Instruct,zero-shot,5,10,5
50,50,Llama 3.2 3B Instruct,zero-shot,9,8,7
51,22,Llama 3.2 3B Instruct,few-shot,17,20,13
52,1,Llama 3.2 3B Instruct,few-shot,6,13,3
53,2,Llama 3.2 3B Instruct,few-shot,1,4,1
54,3,Llama 3.2 3B Instruct,few-shot,3,6,1
55,4,Llama 3.2 3B Instruct,few-shot,4,7,3
56,5,Llama 3.2 3B Instruct,few-shot,4,0,0
57,6,Llama 3.2 3B Instruct,few-shot,3,6,2
58,7,Llama 3.2 3B Instruct,few-shot,3,10,1
59,8,Llama 3.2 3B Instruct,few-shot,3,9,2
60,9,Llama 3.2 3B Instruct,few-shot,3,9,3
61,10,Llama 3.2 3B Instruct,few-shot,3,5,3
62,11,Llama 3.2 3B Instruct,few-shot,4,9,3
63,12,Llama 3.2 3B Instruct,few-shot,4,11,0
64,13,Llama 3.2 3B Instruct,few-shot,5,9,5
65,14,Llama 3.2 3B Instruct,few-shot,3,5,0
66,15,Llama 3.2 3B Instruct,few-shot,2,4,1
67,16,Llama 3.2 3B Instruct,few-shot,3,0,0
68,17,Llama 3.2 3B Instruct,few-shot,3,4,3
69,18,Llama 3.2 3B Instruct,few-shot,3,8,3
70,19,Llama 3.2 3B Instruct,few-shot,3,6,3
71,20,Llama 3.2 3B Instruct,few-shot,2,6,0
72,21,Llama 3.2 3B Instruct,few-shot,4,3,0
73,23,Llama 3.2 3B Instruct,few-shot,7,7,2
74,24,Llama 3.2 3B Instruct,few-shot,7,13,4
75,25,Llama 3.2 3B Instruct,few-shot,4,5,2
76,26,Llama 3.2 3B Instruct,few-shot,3,0,0
77,27,Llama 3.2 3B Instruct,few-shot,7,0,0
78,28,Llama 3.2 3B Instruct,few-shot,11,7,4
79,29,Llama 3.2 3B Instruct,few-shot,9,6,0
80,30,Llama 3.2 3B Instruct,few-shot,12,12,7
81,31,Llama 3.2 3B Instruct,few-shot,5,0,0
82,32,Llama 3.2 3B Instruct,few-shot,8,0,0
83,33,Llama 3.2 3B Instruct,few-shot,8,7,6
84,34,Llama 3.2 3B Instruct,few-shot,7,7,4
85,35,Llama 3.2 3B Instruct,few-shot,11,0,0
86,36,Llama 3.2 3B Instruct,few-shot,6,7,0
87,37,Llama 3.2 3B Instruct,few-shot,8,7,5
88,38,Llama 3.2 3B Instruct,few-shot,4,0,0
89,39,Llama 3.2 3B Instruct,few-shot,6,7,2
90,40,Llama 3.2 3B Instruct,few-shot,9,9,7
91,41,Llama 3.2 3B Instruct,few-shot,8,7,0
92,42,Llama 3.2 3B Instruct,few-shot,9,8,0
93,43,Llama 3.2 3B Instruct,few-shot,9,0,0
94,44,Llama 3.2 3B Instruct,few-shot,9,15,0
95,45,Llama 3.2 3B Instruct,few-shot,8,7,5
96,46,Llama 3.2 3B Instruct,few-shot,7,6,3
97,47,Llama 3.2 3B Instruct,few-shot,10,0,0
98,48,Llama 3.2 3B Instruct,few-shot,6,0,0
99,49,Llama 3.2 3B Instruct,few-shot,5,11,0
100,50,Llama 3.2 3B Instruct,few-shot,9,8,5
101,1,Llama 3.2 3B Instruct,chain-of-thought,6,14,5
102,2,Llama 3.2 3B Instruct,chain-of-thought,1,3,1
103,3,Llama 3.2 3B Instruct,chain-of-thought,3,6,2
104,4,Llama 3.2 3B Instruct,chain-of-thought,4,7,4
105,5,Llama 3.2 3B Instruct,chain-of-thought,4,7,4
106,6,Llama 3.2 3B Instruct,chain-of-thought,3,5,3
107,7,Llama 3.2 3B Instruct,chain-of-thought,3,7,3
108,8,Llama 3.2 3B Instruct,chain-of-thought,3,9,2
109,9,Llama 3.2 3B Instruct,chain-of-thought,3,8,2
110,10,Llama 3.2 3B Instruct,chain-of-thought,3,5,3
111,11,Llama 3.2 3B Instruct,chain-of-thought,4,10,5
112,12,Llama 3.2 3B Instruct,chain-of-thought,4,15,6
113,13,Llama 3.2 3B Instruct,chain-of-thought,5,8,5
114,14,Llama 3.2 3B Instruct,chain-of-thought,3,7,2
115,15,Llama 3.2 3B Instruct,chain-of-thought,2,5,2
116,16,Llama 3.2 3B Instruct,chain-of-thought,3,11,1
117,17,Llama 3.2 3B Instruct,chain-of-thought,3,5,1
118,18,Llama 3.2 3B Instruct,chain-of-thought,3,8,3
119,19,Llama 3.2 3B Instruct,chain-of-thought,3,10,2
120,20,Llama 3.2 3B Instruct,chain-of-thought,2,5,0
121,21,Llama 3.2 3B Instruct,chain-of-thought,4,0,0
122,22,Llama 3.2 3B Instruct,chain-of-thought,17,0,0
123,23,Llama 3.2 3B Instruct,chain-of-thought,7,6,2
124,24,Llama 3.2 3B Instruct,chain-of-thought,7,9,4
125,25,Llama 3.2 3B Instruct,chain-of-thought,4,4,1
126,26,Llama 3.2 3B Instruct,chain-of-thought,3,6,4
127,27,Llama 3.2 3B Instruct,chain-of-thought,7,7,7
128,28,Llama 3.2 3B Instruct,chain-of-thought,11,12,13
129,29,Llama 3.2 3B Instruct,chain-of-thought,9,10,6
130,30,Llama 3.2 3B Instruct,chain-of-thought,12,0,0
131,31,Llama 3.2 3B Instruct,chain-of-thought,5,4,3
132,32,Llama 3.2 3B Instruct,chain-of-thought,8,9,7
133,33,Llama 3.2 3B Instruct,chain-of-thought,8,9,7
134,34,Llama 3.2 3B Instruct,chain-of-thought,7,10,5
135,35,Llama 3.2 3B Instruct,chain-of-thought,11,10,8
136,36,Llama 3.2 3B Instruct,chain-of-thought,6,5,0
137,37,Llama 3.2 3B Instruct,chain-of-thought,8,8,7
138,38,Llama 3.2 3B Instruct,chain-of-thought,4,5,4
139,39,Llama 3.2 3B Instruct,chain-of-thought,6,10,4
140,40,Llama 3.2 3B Instruct,chain-of-thought,9,8,6
141,41,Llama 3.2 3B Instruct,chain-of-thought,8,7,1
142,42,Llama 3.2 3B Instruct,chain-of-thought,9,7,1
143,43,Llama 3.2 3B Instruct,chain-of-thought,9,9,9
144,44,Llama 3.2 3B Instruct,chain-of-thought,9,8,8
145,45,Llama 3.2 3B Instruct,chain-of-thought,8,7,4
146,46,Llama 3.2 3B Instruct,chain-of-thought,7,6,6
147,47,Llama 3.2 3B Instruct,chain-of-thought,10,10,10
148,48,Llama 3.2 3B Instruct,chain-of-thought,6,6,4
149,49,Llama 3.2 3B Instruct,chain-of-thought,5,7,3
150,50,Llama 3.2 3B Instruct,chain-of-thought,9,9,8
151,1,Llama 3.2 3B Instruct,structured-output,6,16,0
152,2,Llama 3.2 3B Instruct,structured-output,1,1,1
153,3,Llama 3.2 3B Instruct,structured-output,3,6,2
154,4,Llama 3.2 3B Instruct,structured-output,4,0,0
155,5,Llama 3.2 3B Instruct,structured-output,4,7,3
156,6,Llama 3.2 3B Instruct,structured-output,3,6,2
157,7,Llama 3.2 3B Instruct,structured-output,3,6,1
158,8,Llama 3.2 3B Instruct,structured-output,3,8,3
159,9,Llama 3.2 3B Instruct,structured-output,3,0,0
160,10,Llama 3.2 3B Instruct,structured-output,3,5,2
161,11,Llama 3.2 3B Instruct,structured-output,4,7,4
162,12,Llama 3.2 3B Instruct,structured-output,4,6,0
163,13,Llama 3.2 3B Instruct,structured-output,5,8,5
164,14,Llama 3.2 3B Instruct,structured-output,3,7,0
165,15,Llama 3.2 3B Instruct,structured-output,2,2,2
166,16,Llama 3.2 3B Instruct,structured-output,3,11,2
167,17,Llama 3.2 3B Instruct,structured-output,3,3,2
168,18,Llama 3.2 3B Instruct,structured-output,3,9,3
169,19,Llama 3.2 3B Instruct,structured-output,3,5,2
170,20,Llama 3.2 3B Instruct,structured-output,2,6,0
171,21,Llama 3.2 3B Instruct,structured-output,4,0,0
172,22,Llama 3.2 3B Instruct,structured-output,17,14,4
173,23,Llama 3.2 3B Instruct,structured-output,7,6,2
174,24,Llama 3.2 3B Instruct,structured-output,7,7,5
175,25,Llama 3.2 3B Instruct,structured-output,4,4,0
176,26,Llama 3.2 3B Instruct,structured-output,3,3,3
177,27,Llama 3.2 3B Instruct,structured-output,7,9,0
178,28,Llama 3.2 3B Instruct,structured-output,11,11,10
179,29,Llama 3.2 3B Instruct,structured-output,9,8,0
180,30,Llama 3.2 3B Instruct,structured-output,12,12,7
181,31,Llama 3.2 3B Instruct,structured-output,5,5,0
182,32,Llama 3.2 3B Instruct,structured-output,8,7,7
183,33,Llama 3.2 3B Instruct,structured-output,8,8,7
184,34,Llama 3.2 3B Instruct,structured-output,7,9,5
185,35,Llama 3.2 3B Instruct,structured-output,11,14,0
186,36,Llama 3.2 3B Instruct,structured-output,6,7,0
187,37,Llama 3.2 3B Instruct,structured-output,8,7,7
188,38,Llama 3.2 3B Instruct,structured-output,4,3,0
189,39,Llama 3.2 3B Instruct,structured-output,6,8,2
190,40,Llama 3.2 3B Instruct,structured-output,9,9,9
191,41,Llama 3.2 3B Instruct,structured-output,8,6,0
192,42,Llama 3.2 3B Instruct,structured-output,9,7,1
193,43,Llama 3.2 3B Instruct,structured-output,9,9,9
194,44,Llama 3.2 3B Instruct,structured-output,9,8,8
195,45,Llama 3.2 3B Instruct,structured-output,8,6,5
196,46,Llama 3.2 3B Instruct,structured-output,7,7,6
197,47,Llama 3.2 3B Instruct,structured-output,10,10,10
198,48,Llama 3.2 3B Instruct,structured-output,6,6,3
199,49,Llama 3.2 3B Instruct,structured-output,5,6,0
200,50,Llama 3.2 3B Instruct,structured-output,9,9,6
201,1,Phi-4-mini 3.8B Instruct,zero-shot,6,14,5
202,2,Phi-4-mini 3.8B Instruct,zero-shot,1,3,1
203,3,Phi-4-mini 3.8B Instruct,zero-shot,3,7,3
204,4,Phi-4-mini 3.8B Instruct,zero-shot,4,7,4
205,5,Phi-4-mini 3.8B Instruct,zero-shot,4,7,4
206,6,Phi-4-mini 3.8B Instruct,zero-shot,3,4,2
207,7,Phi-4-mini 3.8B Instruct,zero-shot,3,6,1
208,8,Phi-4-mini 3.8B Instruct,zero-shot,3,9,2
209,9,Phi-4-mini 3.8B Instruct,zero-shot,3,6,1
210,10,Phi-4-mini 3.8B Instruct,zero-shot,3,0,0
211,11,Phi-4-mini 3.8B Instruct,zero-shot,4,6,2
212,12,Phi-4-mini 3.8B Instruct,zero-shot,4,11,4
213,13,Phi-4-mini 3.8B Instruct,zero-shot,5,7,0
214,14,Phi-4-mini 3.8B Instruct,zero-shot,3,7,2
215,15,Phi-4-mini 3.8B Instruct,zero-shot,2,7,1
216,16,Phi-4-mini 3.8B Instruct,zero-shot,3,14,1
217,17,Phi-4-mini 3.8B Instruct,zero-shot,3,6,1
218,18,Phi-4-mini 3.8B Instruct,zero-shot,3,6,3
219,19,Phi-4-mini 3.8B Instruct,zero-shot,3,6,3
220,20,Phi-4-mini 3.8B Instruct,zero-shot,2,5,0
221,21,Phi-4-mini 3.8B Instruct,zero-shot,4,4,1
222,22,Phi-4-mini 3.8B Instruct,zero-shot,17,17,8
223,23,Phi-4-mini 3.8B Instruct,zero-shot,7,6,1
224,24,Phi-4-mini 3.8B Instruct,zero-shot,7,7,4
225,25,Phi-4-mini 3.8B Instruct,zero-shot,4,4,1
226,26,Phi-4-mini 3.8B Instruct,zero-shot,3,4,3
227,27,Phi-4-mini 3.8B Instruct,zero-shot,7,7,7
228,28,Phi-4-mini 3.8B Instruct,zero-shot,11,7,8
229,29,Phi-4-mini 3.8B Instruct,zero-shot,9,9,6
230,30,Phi-4-mini 3.8B Instruct,zero-shot,12,12,7
231,31,Phi-4-mini 3.8B Instruct,zero-shot,5,6,5
232,32,Phi-4-mini 3.8B Instruct,zero-shot,8,8,7
233,33,Phi-4-mini 3.8B Instruct,zero-shot,8,8,5
234,34,Phi-4-mini 3.8B Instruct,zero-shot,7,7,5
235,35,Phi-4-mini 3.8B Instruct,zero-shot,11,8,7
236,36,Phi-4-mini 3.8B Instruct,zero-shot,6,5,5
237,37,Phi-4-mini 3.8B Instruct,zero-shot,8,7,5
238,38,Phi-4-mini 3.8B Instruct,zero-shot,4,4,3
239,39,Phi-4-mini 3.8B Instruct,zero-shot,6,8,1
240,40,Phi-4-mini 3.8B Instruct,zero-shot,9,7,5
241,41,Phi-4-mini 3.8B Instruct,zero-shot,8,8,0
242,42,Phi-4-mini 3.8B Instruct,zero-shot,9,7,1
243,43,Phi-4-mini 3.8B Instruct,zero-shot,9,9,9
244,44,Phi-4-mini 3.8B Instruct,zero-shot,9,0,0
245,45,Phi-4-mini 3.8B Instruct,zero-shot,8,7,4
246,46,Phi-4-mini 3.8B Instruct,zero-shot,7,7,7
247,47,Phi-4-mini 3.8B Instruct,zero-shot,10,10,10
248,48,Phi-4-mini 3.8B Instruct,zero-shot,6,6,4
249,49,Phi-4-mini 3.8B Instruct,zero-shot,5,5,3
250,50,Phi-4-mini 3.8B Instruct,zero-shot,9,9,8
251,1,Phi-4-mini 3.8B Instruct,few-shot,6,0,0
252,2,Phi-4-mini 3.8B Instruct,few-shot,1,2,1
253,3,Phi-4-mini 3.8B Instruct,few-shot,3,6,1
254,4,Phi-4-mini 3.8B Instruct,few-shot,4,7,1
255,5,Phi-4-mini 3.8B Instruct,few-shot,4,0,0
256,6,Phi-4-mini 3.8B Instruct,few-shot,3,3,0
257,7,Phi-4-mini 3.8B Instruct,few-shot,3,0,0
258,8,Phi-4-mini 3.8B Instruct,few-shot,3,9,3
259,9,Phi-4-mini 3.8B Instruct,few-shot,3,6,1
260,10,Phi-4-mini 3.8B Instruct,few-shot,3,4,3
261,11,Phi-4-mini 3.8B Instruct,few-shot,4,6,4
262,12,Phi-4-mini 3.8B Instruct,few-shot,4,12,4
263,13,Phi-4-mini 3.8B Instruct,few-shot,5,9,5
264,14,Phi-4-mini 3.8B Instruct,few-shot,3,11,0
265,15,Phi-4-mini 3.8B Instruct,few-shot,2,4,1
266,16,Phi-4-mini 3.8B Instruct,few-shot,3,12,1
267,17,Phi-4-mini 3.8B Instruct,few-shot,3,4,2
268,18,Phi-4-mini 3.8B Instruct,few-shot,3,8,3
269,19,Phi-4-mini 3.8B Instruct,few-shot,3,7,1
270,20,Phi-4-mini 3.8B Instruct,few-shot,2,5,0
271,21,Phi-4-mini 3.8B Instruct,few-shot,4,4,2
272,22,Phi-4-mini 3.8B Instruct,few-shot,17,0,0
273,23,Phi-4-mini 3.8B Instruct,few-shot,7,12,0
274,24,Phi-4-mini 3.8B Instruct,few-shot,7,7,2
275,25,Phi-4-mini 3.8B Instruct,few-shot,4,4,1
276,26,Phi-4-mini 3.8B Instruct,few-shot,3,4,1
277,27,Phi-4-mini 3.8B Instruct,few-shot,7,9,4
278,28,Phi-4-mini 3.8B Instruct,few-shot,11,7,7
279,29,Phi-4-mini 3.8B Instruct,few-shot,9,8,5
280,30,Phi-4-mini 3.8B Instruct,few-shot,12,13,7
281,31,Phi-4-mini 3.8B Instruct,few-shot,5,4,4
282,32,Phi-4-mini 3.8B Instruct,few-shot,8,6,6
283,33,Phi-4-mini 3.8B Instruct,few-shot,8,7,0
284,34,Phi-4-mini 3.8B Instruct,few-shot,7,7,4
285,35,Phi-4-mini 3.8B Instruct,few-shot,11,11,10
286,36,Phi-4-mini 3.8B Instruct,few-shot,6,6,6
287,37,Phi-4-mini 3.8B Instruct,few-shot,8,7,7
288,38,Phi-4-mini 3.8B Instruct,few-shot,4,5,3
289,39,Phi-4-mini 3.8B Instruct,few-shot,6,8,1
290,40,Phi-4-mini 3.8B Instruct,few-shot,9,11,0
291,41,Phi-4-mini 3.8B Instruct,few-shot,8,0,0
292,42,Phi-4-mini 3.8B Instruct,few-shot,9,7,0
293,43,Phi-4-mini 3.8B Instruct,few-shot,9,8,7
294,44,Phi-4-mini 3.8B Instruct,few-shot,9,9,9
295,45,Phi-4-mini 3.8B Instruct,few-shot,8,7,4
296,46,Phi-4-mini 3.8B Instruct,few-shot,7,7,4
297,47,Phi-4-mini 3.8B Instruct,few-shot,10,8,7
298,48,Phi-4-mini 3.8B Instruct,few-shot,6,6,2
299,49,Phi-4-mini 3.8B Instruct,few-shot,5,0,0
300,50,Phi-4-mini 3.8B Instruct,few-shot,9,8,6
301,1,Phi-4-mini 3.8B Instruct,chain-of-thought,6,14,5
302,2,Phi-4-mini 3.8B Instruct,chain-of-thought,1,1,1
303,3,Phi-4-mini 3.8B Instruct,chain-of-thought,3,6,1
304,4,Phi-4-mini 3.8B Instruct,chain-of-thought,4,8,4
305,5,Phi-4-mini 3.8B Instruct,chain-of-thought,4,9,3
306,6,Phi-4-mini 3.8B Instruct,chain-of-thought,3,5,3
307,7,Phi-4-mini 3.8B Instruct,chain-of-thought,3,11,1
308,8,Phi-4-mini 3.8B Instruct,chain-of-thought,3,11,2
309,9,Phi-4-mini 3.8B Instruct,chain-of-thought,3,8,3
310,10,Phi-4-mini 3.8B Instruct,chain-of-thought,3,5,3
311,11,Phi-4-mini 3.8B Instruct,chain-of-thought,4,6,4
312,12,Phi-4-mini 3.8B Instruct,chain-of-thought,4,13,0
313,13,Phi-4-mini 3.8B Instruct,chain-of-thought,5,8,5
314,14,Phi-4-mini 3.8B Instruct,chain-of-thought,3,10,0
315,15,Phi-4-mini 3.8B Instruct,chain-of-thought,2,4,1
316,16,Phi-4-mini 3.8B Instruct,chain-of-thought,3,14,2
317,17,Phi-4-mini 3.8B Instruct,chain-of-thought,3,5,0
318,18,Phi-4-mini 3.8B Instruct,chain-of-thought,3,9,3
319,19,Phi-4-mini 3.8B Instruct,chain-of-thought,3,5,1
320,20,Phi-4-mini 3.8B Instruct,chain-of-thought,2,6,0
321,21,Phi-4-mini 3.8B Instruct,chain-of-thought,4,3,1
322,22,Phi-4-mini 3.8B Instruct,chain-of-thought,17,17,15
323,23,Phi-4-mini 3.8B Instruct,chain-of-thought,7,16,0
324,24,Phi-4-mini 3.8B Instruct,chain-of-thought,7,9,5
325,25,Phi-4-mini 3.8B Instruct,chain-of-thought,4,4,1
326,26,Phi-4-mini 3.8B Instruct,chain-of-thought,3,6,3
327,27,Phi-4-mini 3.8B Instruct,chain-of-thought,7,7,6
328,28,Phi-4-mini 3.8B Instruct,chain-of-thought,11,9,8
329,29,Phi-4-mini 3.8B Instruct,chain-of-thought,9,9,5
330,30,Phi-4-mini 3.8B Instruct,chain-of-thought,12,12,7
331,31,Phi-4-mini 3.8B Instruct,chain-of-thought,5,5,4
332,32,Phi-4-mini 3.8B Instruct,chain-of-thought,8,7,6
333,33,Phi-4-mini 3.8B Instruct,chain-of-thought,8,10,8
334,34,Phi-4-mini 3.8B Instruct,chain-of-thought,7,7,5
335,35,Phi-4-mini 3.8B Instruct,chain-of-thought,11,7,7
336,36,Phi-4-mini 3.8B Instruct,chain-of-thought,6,6,6
337,37,Phi-4-mini 3.8B Instruct,chain-of-thought,8,7,7
338,38,Phi-4-mini 3.8B Instruct,chain-of-thought,4,6,4
339,39,Phi-4-mini 3.8B Instruct,chain-of-thought,6,10,0
340,40,Phi-4-mini 3.8B Instruct,chain-of-thought,9,8,0
341,41,Phi-4-mini 3.8B Instruct,chain-of-thought,8,6,1
342,42,Phi-4-mini 3.8B Instruct,chain-of-thought,9,7,1
343,43,Phi-4-mini 3.8B Instruct,chain-of-thought,9,9,9
344,44,Phi-4-mini 3.8B Instruct,chain-of-thought,9,9,7
345,45,Phi-4-mini 3.8B Instruct,chain-of-thought,8,7,6
346,46,Phi-4-mini 3.8B Instruct,chain-of-thought,7,7,6
347,47,Phi-4-mini 3.8B Instruct,chain-of-thought,10,9,0
348,48,Phi-4-mini 3.8B Instruct,chain-of-thought,6,6,5
349,49,Phi-4-mini 3.8B Instruct,chain-of-thought,5,5,4
350,50,Phi-4-mini 3.8B Instruct,chain-of-thought,9,8,6
351,1,Phi-4-mini 3.8B Instruct,structured-output,6,13,0
352,2,Phi-4-mini 3.8B Instruct,structured-output,1,2,1
353,3,Phi-4-mini 3.8B Instruct,structured-output,3,6,1
354,4,Phi-4-mini 3.8B Instruct,structured-output,4,7,4
355,5,Phi-4-mini 3.8B Instruct,structured-output,4,7,3
356,6,Phi-4-mini 3.8B Instruct,structured-output,3,5,0
357,7,Phi-4-mini 3.8B Instruct,structured-output,3,7,3
358,8,Phi-4-mini 3.8B Instruct,structured-output,3,9,3
359,9,Phi-4-mini 3.8B Instruct,structured-output,3,6,1
360,10,Phi-4-mini 3.8B Instruct,structured-output,3,6,3
361,11,Phi-4-mini 3.8B Instruct,structured-output,4,7,4
362,12,Phi-4-mini 3.8B Instruct,structured-output,4,12,6
363,13,Phi-4-mini 3.8B Instruct,structured-output,5,8,5
364,14,Phi-4-mini 3.8B Instruct,structured-output,3,6,0
365,15,Phi-4-mini 3.8B Instruct,structured-output,2,4,0
366,16,Phi-4-mini 3.8B Instruct,structured-output,3,11,1
367,17,Phi-4-mini 3.8B Instruct,structured-output,3,6,1
368,18,Phi-4-mini 3.8B Instruct,structured-output,3,9,3
369,19,Phi-4-mini 3.8B Instruct,structured-output,3,5,2
370,20,Phi-4-mini 3.8B Instruct,structured-output,2,5,0
371,21,Phi-4-mini 3.8B Instruct,structured-output,4,0,0
372,22,Phi-4-mini 3.8B Instruct,structured-output,17,16,14
373,23,Phi-4-mini 3.8B Instruct,structured-output,7,5,2
374,24,Phi-4-mini 3.8B Instruct,structured-output,7,6,0
375,25,Phi-4-mini 3.8B Instruct,structured-output,4,4,3
376,26,Phi-4-mini 3.8B Instruct,structured-output,3,3,3
377,27,Phi-4-mini 3.8B Instruct,structured-output,7,7,7
378,28,Phi-4-mini 3.8B Instruct,structured-output,11,9,10
379,29,Phi-4-mini 3.8B Instruct,structured-output,9,6,4
380,30,Phi-4-mini 3.8B Instruct,structured-output,12,12,7
381,31,Phi-4-mini 3.8B Instruct,structured-output,5,4,3
382,32,Phi-4-mini 3.8B Instruct,structured-output,8,7,7
383,33,Phi-4-mini 3.8B Instruct,structured-output,8,8,0
384,34,Phi-4-mini 3.8B Instruct,structured-output,7,8,4
385,35,Phi-4-mini 3.8B Instruct,structured-output,11,11,9
386,36,Phi-4-mini 3.8B Instruct,structured-output,6,5,5
387,37,Phi-4-mini 3.8B Instruct,structured-output,8,8,5
388,38,Phi-4-mini 3.8B Instruct,structured-output,4,4,2
389,39,Phi-4-mini 3.8B Instruct,structured-output,6,8,1
390,40,Phi-4-mini 3.8B Instruct,structured-output,9,9,7
391,41,Phi-4-mini 3.8B Instruct,structured-output,8,6,1
392,42,Phi-4-mini 3.8B Instruct,structured-output,9,7,1
393,43,Phi-4-mini 3.8B Instruct,structured-output,9,6,0
394,44,Phi-4-mini 3.8B Instruct,structured-output,9,9,9
395,45,Phi-4-mini 3.8B Instruct,structured-output,8,7,0
396,46,Phi-4-mini 3.8B Instruct,structured-output,7,7,6
397,47,Phi-4-mini 3.8B Instruct,structured-output,10,10,10
398,48,Phi-4-mini 3.8B Instruct,structured-output,6,6,2
399,49,Phi-4-mini 3.8B Instruct,structured-output,5,5,2
400,50,Phi-4-mini 3.8B Instruct,structured-output,9,9,7
401,1,Qwen 2.5 3B Instruct,zero-shot,6,12,0
402,2,Qwen 2.5 3B Instruct,zero-shot,1,1,1
403,3,Qwen 2.5 3B Instruct,zero-shot,3,5,2
404,4,Qwen 2.5 3B Instruct,zero-shot,4,6,4
405,5,Qwen 2.5 3B Instruct,zero-shot,4,7,2
406,6,Qwen 2.5 3B Instruct,zero-shot,3,0,0
407,7,Qwen 2.5 3B Instruct,zero-shot,3,7,3
408,8,Qwen 2.5 3B Instruct,zero-shot,3,9,1
409,9,Qwen 2.5 3B Instruct,zero-shot,3,7,1
410,10,Qwen 2.5 3B Instruct,zero-shot,3,6,2
411,11,Qwen 2.5 3B Instruct,zero-shot,4,8,4
412,12,Qwen 2.5 3B Instruct,zero-shot,4,11,4
413,13,Qwen 2.5 3B Instruct,zero-shot,5,8,5
414,14,Qwen 2.5 3B Instruct,zero-shot,3,7,2
415,15,Qwen 2.5 3B Instruct,zero-shot,2,2,0
416,16,Qwen 2.5 3B Instruct,zero-shot,3,11,3
417,17,Qwen 2.5 3B Instruct,zero-shot,3,3,3
418,18,Qwen 2.5 3B Instruct,zero-shot,3,9,3
419,19,Qwen 2.5 3B Instruct,zero-shot,3,5,2
420,20,Qwen 2.5 3B Instruct,zero-shot,2,5,1
421,21,Qwen 2.5 3B Instruct,zero-shot,4,1,0
422,22,Qwen 2.5 3B Instruct,zero-shot,17,0,0
423,23,Qwen 2.5 3B Instruct,zero-shot,7,7,3
424,24,Qwen 2.5 3B Instruct,zero-shot,7,0,0
425,25,Qwen 2.5 3B Instruct,zero-shot,4,4,1
426,26,Qwen 2.5 3B Instruct,zero-shot,3,3,3
427,27,Qwen 2.5 3B Instruct,zero-shot,7,0,0
428,28,Qwen 2.5 3B Instruct,zero-shot,11,10,8
